Diagnosis,Diagnosis_categories,Finished Admission Episodes,Emergency,Waiting list,Planned,Other,Mean_time_waited,Mean_length_of_stay,Young Children,Older Children and Adolescents,Young Adults,Middle-Aged Adults,Older Adults,Elderly 90+,Emergency Admission Ratio (%),Overcrowding_Status
Otitis media in diseases classified elsewhere,Diseases of the ear and mastoid process,16,16,0.0,0.0,0.0,0.0,1.0,14,2.0,0.0,3.0,0,0,100.0,1
Eustachian salpingitis and obstruction,Diseases of the ear and mastoid process,103,7,94.0,2.0,0.0,161.0,0.0,2,1.0,34.0,53.0,12,1,6.796116504854369,0
Other disorders of Eustachian tube,Diseases of the ear and mastoid process,960,60,888.0,12.0,0.0,150.0,0.0,4,44.0,365.0,426.0,125,1,6.25,0
Mastoiditis and related conditions,Diseases of the ear and mastoid process,1847,1512,197.0,104.0,34.0,126.0,4.0,707,544.0,288.0,341.0,281,37,81.86247969680564,0
Cholesteatoma of middle ear,Diseases of the ear and mastoid process,4014,153,3723.0,136.0,2.0,196.0,1.0,21,1076.0,1403.0,1121.0,450,5,3.811659192825112,0
Perforation of tympanic membrane,Diseases of the ear and mastoid process,4841,256,4512.0,71.0,2.0,221.0,1.0,79,1478.0,1378.0,1406.0,530,18,5.288163602561454,0
Other disorders of tympanic membrane,Diseases of the ear and mastoid process,1149,76,1047.0,26.0,0.0,184.0,1.0,26,383.0,328.0,303.0,113,1,6.614447345517842,0
Other disorders of middle ear and mastoid,Diseases of the ear and mastoid process,1016,120,862.0,33.0,1.0,165.0,1.0,43,224.0,253.0,319.0,178,13,11.811023622047244,0
Other disorders of middle ear and mastoid in diseases classified elsewhere,Diseases of the ear and mastoid process,8,6,1.0,0.0,1.0,13.0,15.0,4,2.0,1.0,3.0,1,0,75.0,0
Otosclerosis,Diseases of the ear and mastoid process,624,1,616.0,6.0,1.0,259.0,1.0,1,1.0,162.0,397.0,65,2,0.16025641025641024,0
Disorders of vestibular function,Diseases of the ear and mastoid process,10141,9556,484.0,74.0,27.0,73.0,2.0,14,85.0,1063.0,5018.0,7861,649,94.23133813233409,1
Vertiginous syndromes in diseases classified elsewhere,Diseases of the ear and mastoid process,5,5,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,4.0,2,0,100.0,1
Other diseases of inner ear,Diseases of the ear and mastoid process,2530,2386,115.0,19.0,10.0,213.0,2.0,22,89.0,476.0,1445.0,1521,82,94.30830039525692,1
Conductive and sensorineural hearing loss,Diseases of the ear and mastoid process,3939,418,3228.0,285.0,8.0,152.0,1.0,755,693.0,581.0,1088.0,822,19,10.611830413810612,0
Other hearing loss,Diseases of the ear and mastoid process,1995,499,1344.0,146.0,6.0,141.0,1.0,428,271.0,275.0,558.0,498,17,25.012531328320804,0
Otalgia and effusion of ear,Diseases of the ear and mastoid process,2695,2081,546.0,63.0,5.0,153.0,0.0,225,469.0,793.0,822.0,479,25,77.21706864564007,0
"Other disorders of ear, not elsewhere classified",Diseases of the ear and mastoid process,960,613,301.0,43.0,3.0,100.0,1.0,53,74.0,214.0,390.0,319,16,63.854166666666664,0
Other disorders of ear in diseases classified elsewhere,Diseases of the ear and mastoid process,2,2,0.0,0.0,0.0,0.0,6.0,0,0.0,1.0,0.0,1,0,100.0,1
"Postprocedural disorders of ear and mastoid process, not elsewhere classified",Diseases of the ear and mastoid process,529,30,488.0,11.0,0.0,188.0,1.0,5,145.0,190.0,147.0,42,1,5.671077504725898,0
Rheumatic fever without mention of heart involvement,Diseases of the circulatory system,45,27,11.0,6.0,1.0,3.0,3.0,1,30.0,10.0,4.0,8,0,60.0,0
Rheumatic fever with heart involvement,Diseases of the circulatory system,10,7,1.0,0.0,2.0,43.0,13.0,0,2.0,5.0,11.0,15,0,70.0,0
Rheumatic chorea,Diseases of the circulatory system,35,10,10.0,15.0,0.0,6.0,2.0,3,12.0,2.0,18.0,1,1,28.57142857142857,0
Rheumatic mitral valve diseases,Diseases of the circulatory system,525,115,368.0,29.0,13.0,95.0,12.0,10,15.0,49.0,343.0,342,11,21.904761904761905,0
Rheumatic aortic valve diseases,Diseases of the circulatory system,21,4,15.0,0.0,2.0,85.0,8.0,0,0.0,0.0,8.0,19,2,19.047619047619047,0
Rheumatic tricuspid valve diseases,Diseases of the circulatory system,481,84,347.0,46.0,4.0,95.0,8.0,13,5.0,62.0,167.0,339,18,17.463617463617464,0
Multiple valve diseases,Diseases of the circulatory system,12088,2434,7995.0,668.0,991.0,80.0,12.0,9,42.0,368.0,3325.0,14329,1076,20.13567174056916,0
Other rheumatic heart diseases,Diseases of the circulatory system,18,13,4.0,1.0,0.0,137.0,3.0,0,3.0,11.0,2.0,9,0,72.22222222222221,0
Essential (primary) hypertension,Diseases of the circulatory system,44598,40441,2923.0,1090.0,144.0,60.0,1.0,187,588.0,5664.0,23576.0,21736,1658,90.67895421319342,1
Hypertensive heart disease,Diseases of the circulatory system,568,489,58.0,16.0,5.0,66.0,6.0,0,3.0,107.0,499.0,512,43,86.09154929577466,1
Hypertensive renal disease,Diseases of the circulatory system,449,255,137.0,52.0,5.0,52.0,6.0,5,12.0,152.0,318.0,237,6,56.792873051224944,0
Hypertensive heart and renal disease,Diseases of the circulatory system,1292,1200,49.0,31.0,12.0,32.0,15.0,0,1.0,43.0,605.0,2853,565,92.87925696594426,1
Secondary hypertension,Diseases of the circulatory system,179,123,46.0,9.0,1.0,87.0,3.0,15,28.0,83.0,60.0,44,4,68.71508379888269,0
Angina pectoris,Diseases of the circulatory system,41380,34858,5731.0,446.0,345.0,73.0,2.0,1,1.0,887.0,23842.0,36366,1852,84.23876268728854,0
Acute myocardial infarction,Diseases of the circulatory system,81634,76052,1459.0,410.0,3713.0,51.0,6.0,2,4.0,2556.0,60084.0,96941,8495,93.1621628243134,1
Subsequent myocardial infarction,Diseases of the circulatory system,559,541,6.0,2.0,10.0,12.0,7.0,0,0.0,14.0,336.0,781,107,96.77996422182468,1
Certain current complications following acute myocardial infarction,Diseases of the circulatory system,142,98,21.0,7.0,16.0,134.0,9.0,0,1.0,7.0,94.0,164,3,69.01408450704226,0
Other acute ischaemic heart diseases,Diseases of the circulatory system,12804,12013,452.0,74.0,265.0,71.0,5.0,9,3.0,606.0,7885.0,13840,1294,93.82224304904717,1
Chronic ischaemic heart disease,Diseases of the circulatory system,88760,10073,64990.0,3252.0,10445.0,68.0,6.0,47,41.0,1062.0,41785.0,62992,416,11.348580441640378,0
Pulmonary embolism,Diseases of the circulatory system,36330,33990,1386.0,744.0,210.0,34.0,5.0,4,102.0,5223.0,20927.0,38962,3427,93.5590421139554,1
Other pulmonary heart diseases,Diseases of the circulatory system,7885,1830,3187.0,2794.0,74.0,60.0,8.0,138,262.0,890.0,3652.0,5660,163,23.20862396956246,0
Other diseases of pulmonary vessels,Diseases of the circulatory system,179,37,103.0,34.0,5.0,63.0,8.0,39,27.0,55.0,56.0,68,0,20.670391061452513,0
Acute pericarditis,Diseases of the circulatory system,1739,1615,67.0,37.0,20.0,21.0,4.0,5,85.0,939.0,1089.0,674,15,92.86946520989075,1
Other diseases of pericardium,Diseases of the circulatory system,8222,7250,578.0,207.0,187.0,48.0,5.0,78,248.0,3456.0,5329.0,5416,205,88.17805886645586,1
Pericarditis in diseases classified elsewhere,Diseases of the circulatory system,27,23,1.0,1.0,2.0,7.0,9.0,0,0.0,18.0,27.0,9,0,85.18518518518519,1
Acute and subacute endocarditis,Diseases of the circulatory system,3323,1922,447.0,431.0,523.0,10.0,28.0,52,129.0,1141.0,3685.0,5587,372,57.839301835690634,0
Nonrheumatic mitral valve disorders,Diseases of the circulatory system,5516,673,4371.0,328.0,144.0,82.0,9.0,12,36.0,300.0,2309.0,4225,84,12.200870195794055,0
Nonrheumatic aortic valve disorders,Diseases of the circulatory system,17860,4861,11005.0,784.0,1210.0,72.0,9.0,24,78.0,309.0,4051.0,21299,1964,27.21724524076148,0
Nonrheumatic tricuspid valve disorders,Diseases of the circulatory system,190,33,129.0,23.0,5.0,66.0,7.0,5,24.0,18.0,73.0,133,2,17.36842105263158,0
Pulmonary valve disorders,Diseases of the circulatory system,408,22,290.0,95.0,1.0,176.0,5.0,10,90.0,194.0,116.0,54,1,5.392156862745098,0
"Endocarditis, valve unspecified",Diseases of the circulatory system,208,144,41.0,11.0,12.0,36.0,13.0,4,5.0,49.0,116.0,227,14,69.23076923076923,0
Endocarditis and heart valve disorders in diseases classified elsewhere,Diseases of the circulatory system,9,4,4.0,0.0,1.0,0.0,22.0,0,0.0,2.0,13.0,8,0,44.44444444444444,0
Acute myocarditis,Diseases of the circulatory system,619,479,99.0,9.0,32.0,39.0,8.0,23,77.0,495.0,305.0,239,8,77.38287560581584,0
Myocarditis in diseases classified elsewhere,Diseases of the circulatory system,13,10,3.0,0.0,0.0,53.0,32.0,0,1.0,4.0,25.0,5,0,76.92307692307693,0
Cardiomyopathy,Diseases of the circulatory system,7067,2616,3656.0,572.0,223.0,82.0,9.0,204,343.0,1265.0,4641.0,4275,77,37.01712183387576,0
Cardiomyopathy in diseases classified elsewhere,Diseases of the circulatory system,60,25,30.0,1.0,4.0,56.0,19.0,0,8.0,4.0,37.0,62,4,41.66666666666667,0
Atrioventricular and left bundle-branch block,Diseases of the circulatory system,24042,12447,9608.0,1285.0,702.0,61.0,6.0,42,189.0,576.0,4182.0,29455,5066,51.771899176441224,0
Other conduction disorders,Diseases of the circulatory system,5144,2482,2333.0,228.0,101.0,98.0,5.0,18,353.0,892.0,1084.0,5051,755,48.25038880248834,0
Cardiac arrest,Diseases of the circulatory system,3560,3346,118.0,31.0,65.0,101.0,7.0,101,78.0,502.0,1856.0,2873,147,93.98876404494382,1
Paroxysmal tachycardia,Diseases of the circulatory system,19923,11870,7055.0,566.0,432.0,147.0,4.0,383,1086.0,3505.0,9569.0,13520,726,59.57938061536917,0
Atrial fibrillation and flutter,Diseases of the circulatory system,119483,67843,43407.0,7660.0,573.0,108.0,3.0,2,79.0,2944.0,42564.0,111151,10207,56.78046249257217,0
Other cardiac arrhythmias,Diseases of the circulatory system,15564,8579,5853.0,839.0,293.0,84.0,4.0,71,368.0,2494.0,5340.0,13260,1165,55.120791570290415,0
Heart failure,Diseases of the circulatory system,104336,89833,10369.0,3192.0,942.0,54.0,10.0,174,96.0,2063.0,30166.0,160238,35342,86.09971630118079,1
Complications and ill-defined descriptions of heart disease,Diseases of the circulatory system,5157,2613,1991.0,459.0,94.0,76.0,6.0,36,175.0,1188.0,2559.0,3838,240,50.668993600930776,0
Other heart disorders in diseases classified elsewhere,Diseases of the circulatory system,1,1,0.0,0.0,0.0,0.0,7.0,0,0.0,1.0,1.0,0,0,100.0,1
Subarachnoid haemorrhage,Diseases of the circulatory system,5691,4766,158.0,108.0,659.0,69.0,19.0,3,69.0,858.0,5000.0,4238,237,83.74626603408892,0
Intracerebral haemorrhage,Diseases of the circulatory system,14954,13318,171.0,205.0,1260.0,50.0,21.0,31,117.0,1002.0,7331.0,19915,2449,89.05978333556239,1
Other nontraumatic intracranial haemorrhage,Diseases of the circulatory system,5280,4583,142.0,121.0,434.0,35.0,12.0,68,45.0,173.0,1522.0,6681,1041,86.79924242424242,1
Cerebral infarction,Diseases of the circulatory system,82118,74202,794.0,995.0,6127.0,49.0,15.0,106,150.0,2714.0,35689.0,112345,17887,90.36021335151855,1
"Stroke, not specified as haemorrhage or infarction",Diseases of the circulatory system,3094,2902,43.0,25.0,124.0,49.0,7.0,1,6.0,118.0,1164.0,3375,631,93.79444085326438,1
"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction",Diseases of the circulatory system,4004,1362,2374.0,197.0,71.0,17.0,3.0,5,28.0,49.0,1244.0,3513,89,34.01598401598401,0
"Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction",Diseases of the circulatory system,400,319,33.0,17.0,31.0,54.0,12.0,8,14.0,32.0,199.0,354,55,79.75,0
Other cerebrovascular diseases,Diseases of the circulatory system,5812,2253,2621.0,836.0,102.0,77.0,7.0,52,145.0,645.0,3471.0,3780,306,38.7646249139711,0
Cerebrovascular disorders in diseases classified elsewhere,Diseases of the circulatory system,121,105,9.0,4.0,3.0,16.0,12.0,3,0.0,0.0,44.0,207,10,86.77685950413223,1
Sequelae of cerebrovascular disease,Diseases of the circulatory system,8,1,0.0,2.0,5.0,0.0,49.0,0,0.0,0.0,2.0,2,1,12.5,0
Atherosclerosis,Diseases of the circulatory system,18216,7781,9201.0,778.0,456.0,54.0,11.0,0,11.0,189.0,6353.0,16910,904,42.71519543258674,0
Aortic aneurysm and dissection,Diseases of the circulatory system,10730,4644,5379.0,320.0,387.0,75.0,9.0,3,121.0,376.0,3047.0,11257,484,43.28052190121156,0
Other aneurysm and dissection,Diseases of the circulatory system,4374,2060,1887.0,277.0,150.0,59.0,7.0,9,34.0,447.0,2272.0,3207,137,47.096479195244626,0
Other peripheral vascular diseases,Diseases of the circulatory system,7150,2381,2237.0,2329.0,203.0,58.0,7.0,76,72.0,690.0,3024.0,4339,316,33.3006993006993,0
Arterial embolism and thrombosis,Diseases of the circulatory system,7335,4510,2421.0,201.0,203.0,45.0,10.0,11,17.0,311.0,3401.0,5984,493,61.486025903203824,0
Other disorders of arteries and arterioles,Diseases of the circulatory system,12207,2673,6092.0,3239.0,203.0,43.0,9.0,22,134.0,892.0,5184.0,8805,240,21.897272057016465,0
Diseases of capillaries,Diseases of the circulatory system,2395,169,1550.0,669.0,7.0,61.0,4.0,16,114.0,178.0,1197.0,1027,21,7.056367432150314,0
"Disorders of arteries, arterioles and capillaries in diseases classified elsewhere",Diseases of the circulatory system,79,45,27.0,5.0,2.0,27.0,19.0,0,0.0,2.0,49.0,98,7,56.9620253164557,0
Phlebitis and thrombophlebitis,Diseases of the circulatory system,31531,26891,2982.0,1511.0,147.0,41.0,2.0,25,191.0,4546.0,14507.0,16845,1686,85.28432336430815,1
Portal vein thrombosis,Diseases of the circulatory system,756,536,141.0,61.0,18.0,58.0,6.0,53,45.0,179.0,468.0,451,19,70.8994708994709,0
Other venous embolism and thrombosis,Diseases of the circulatory system,3294,2569,535.0,159.0,31.0,53.0,3.0,31,64.0,755.0,1714.0,1478,82,77.99028536733455,0
Varicose veins of lower extremities,Diseases of the circulatory system,32274,4318,27153.0,762.0,41.0,140.0,5.0,0,22.0,5247.0,15707.0,12998,757,13.379190679804175,0
Oesophageal varices,Diseases of the circulatory system,12140,1115,7794.0,3208.0,23.0,75.0,7.0,54,210.0,1034.0,7180.0,5660,36,9.184514003294893,0
Varicose veins of other sites,Diseases of the circulatory system,4336,930,2904.0,458.0,44.0,87.0,3.0,13,307.0,1921.0,1679.0,799,8,21.448339483394836,0
Other disorders of veins,Diseases of the circulatory system,3419,1928,1310.0,159.0,22.0,109.0,3.0,16,37.0,493.0,1366.0,2024,218,56.390757531441935,0
Nonspecific lymphadenitis,Diseases of the circulatory system,6748,5244,1163.0,313.0,28.0,20.0,1.0,1149,4014.0,961.0,743.0,310,6,77.71191464137523,0
Other noninfective disorders of lymphatic vessels and lymph nodes,Diseases of the circulatory system,2714,1765,756.0,168.0,25.0,75.0,5.0,113,127.0,291.0,1042.0,1773,137,65.03316138540899,0
Hypotension,Diseases of the circulatory system,33342,31685,970.0,433.0,254.0,42.0,6.0,13,221.0,972.0,7009.0,44419,8388,95.03029212404775,1
"Postprocedural disorders of circulatory system, not elsewhere classified",Diseases of the circulatory system,99,73,24.0,0.0,2.0,101.0,10.0,12,5.0,7.0,50.0,79,3,73.73737373737373,0
Other disorders of circulatory system in diseases classified elsewhere,Diseases of the circulatory system,5900,1125,3015.0,1737.0,23.0,80.0,8.0,3,7.0,582.0,4536.0,2672,16,19.06779661016949,0
Other and unspecified disorders of circulatory system,Diseases of the circulatory system,450,270,150.0,14.0,16.0,58.0,8.0,14,19.0,44.0,143.0,341,38,60.0,0
Acute nasopharyngitis [common cold],Diseases of the respiratory system,1666,1543,63.0,44.0,16.0,242.0,1.0,1058,172.0,171.0,209.0,146,24,92.61704681872749,1
Acute sinusitis,Diseases of the respiratory system,1796,1575,185.0,22.0,14.0,139.0,2.0,31,313.0,766.0,686.0,329,16,87.69487750556793,1
Acute pharyngitis,Diseases of the respiratory system,7602,6898,519.0,138.0,47.0,66.0,1.0,1140,1370.0,3082.0,1924.0,824,26,90.73927913706919,1
Acute tonsillitis,Diseases of the respiratory system,70658,48027,21563.0,838.0,230.0,161.0,1.0,21127,21163.0,27164.0,4120.0,465,9,67.97107192391519,0
Acute laryngitis and tracheitis,Diseases of the respiratory system,1396,1256,118.0,13.0,9.0,31.0,3.0,38,69.0,398.0,663.0,454,41,89.97134670487105,1
Acute obstructive laryngitis [croup] and epiglottitis,Diseases of the respiratory system,8797,8379,312.0,64.0,42.0,129.0,1.0,7312,1032.0,276.0,452.0,255,7,95.24838012958963,1
Acute upper respiratory infections of multiple and unspecified sites,Diseases of the respiratory system,42506,41029,630.0,640.0,207.0,31.0,1.0,28989,5927.0,3890.0,3412.0,2537,313,96.52519644285512,1
Influenza due to identified zoonotic or pandemic influenza virus,Diseases of the respiratory system,162,157,1.0,2.0,2.0,0.0,5.0,45,19.0,21.0,50.0,126,18,96.91358024691358,1
Influenza due to identified seasonal influenza virus,Diseases of the respiratory system,26441,25789,283.0,199.0,170.0,17.0,6.0,4951,2495.0,5387.0,11103.0,21214,3252,97.53413259710298,1
"Influenza, virus not identified",Diseases of the respiratory system,1400,1338,34.0,15.0,13.0,16.0,5.0,216,128.0,348.0,532.0,843,127,95.57142857142857,1
"Viral pneumonia, not elsewhere classified",Diseases of the respiratory system,6192,5941,100.0,74.0,77.0,8.0,8.0,1740,676.0,770.0,2107.0,6009,1217,95.94638242894057,1
Pneumonia due to Streptococcus pneumoniae,Diseases of the respiratory system,3254,3089,113.0,30.0,22.0,11.0,10.0,82,49.0,569.0,2492.0,4409,428,94.92931776275353,1
Pneumonia due to Haemophilus influenzae,Diseases of the respiratory system,1265,1024,199.0,34.0,8.0,19.0,10.0,38,44.0,163.0,713.0,1749,149,80.94861660079052,0
"Bacterial pneumonia, not elsewhere classified",Diseases of the respiratory system,6742,6006,472.0,155.0,109.0,19.0,12.0,419,1005.0,1609.0,3710.0,8639,841,89.08335805398991,1
"Pneumonia due to other infectious organisms, not elsewhere classified",Diseases of the respiratory system,75,57,8.0,6.0,4.0,14.0,15.0,12,17.0,13.0,39.0,52,3,76.0,0
Pneumonia in diseases classified elsewhere,Diseases of the respiratory system,199,179,15.0,4.0,1.0,29.0,18.0,9,6.0,31.0,169.0,324,6,89.9497487437186,1
"Pneumonia, organism unspecified",Diseases of the respiratory system,248725,241120,3833.0,2225.0,1547.0,20.0,8.0,6912,7478.0,25088.0,92517.0,330592,67969,96.94240627198714,1
Acute bronchitis,Diseases of the respiratory system,3943,3512,383.0,34.0,14.0,29.0,3.0,671,121.0,836.0,1700.0,2305,234,89.06923662186152,1
Acute bronchiolitis,Diseases of the respiratory system,54199,52950,337.0,382.0,530.0,23.0,2.0,57658,148.0,133.0,316.0,361,33,97.6955294378125,1
Unspecified acute lower respiratory infection,Diseases of the respiratory system,128082,122942,2482.0,1798.0,860.0,31.0,3.0,24066,14857.0,18268.0,33888.0,75278,16207,95.98694586280664,1
Vasomotor and allergic rhinitis,Diseases of the respiratory system,4769,635,1953.0,2163.0,18.0,77.0,0.0,70,1360.0,1740.0,1316.0,347,6,13.315160410987628,0
"Chronic rhinitis, nasopharyngitis and pharyngitis",Diseases of the respiratory system,1404,175,1193.0,35.0,1.0,190.0,1.0,46,75.0,408.0,636.0,281,2,12.464387464387466,0
Chronic sinusitis,Diseases of the respiratory system,8146,3821,4109.0,156.0,60.0,173.0,1.0,74,652.0,2762.0,3773.0,1643,37,46.906457156886816,0
Nasal polyp,Diseases of the respiratory system,7718,115,7539.0,63.0,1.0,174.0,1.0,11,181.0,1595.0,3990.0,1992,15,1.490023322104172,0
Other disorders of nose and nasal sinuses,Diseases of the respiratory system,27418,1306,25775.0,324.0,13.0,191.0,1.0,350,1346.0,13501.0,9844.0,2584,49,4.76329418630097,0
Chronic diseases of tonsils and adenoids,Diseases of the respiratory system,21029,946,19515.0,541.0,27.0,143.0,1.0,5174,9530.0,4085.0,1852.0,609,9,4.49854962195064,0
Peritonsillar abscess,Diseases of the respiratory system,11984,11546,294.0,58.0,86.0,151.0,1.0,35,1268.0,8260.0,2950.0,503,7,96.34512683578103,1
Chronic laryngitis and laryngotracheitis,Diseases of the respiratory system,119,10,108.0,1.0,0.0,33.0,3.0,2,2.0,13.0,77.0,25,2,8.403361344537815,0
"Diseases of vocal cords and larynx, not elsewhere classified",Diseases of the respiratory system,12693,1190,10617.0,850.0,36.0,59.0,4.0,526,423.0,1584.0,6434.0,4399,89,9.375246198692192,0
Other diseases of upper respiratory tract,Diseases of the respiratory system,4610,1544,2721.0,292.0,53.0,72.0,6.0,517,397.0,788.0,1938.0,1737,45,33.49240780911063,0
